id,x,y,m,f,total,m_index,f_index
49242847,492425,284725,33482.95,43484.59,76967.54,5.71,7.42
49252827,492525,282725,792.63,886.29,1678.92,6.2,6.93
49252847,492525,284725,133931.8,173938.36,307870.16,5.71,7.42
49252848,492525,284825,30497.7,26058.41,56556.11,7.08,6.05
49262828,492625,282825,33062.38,34197.22,67259.6,6.45,6.67
49262829,492625,282925,16531.4,17098.37,33629.77,6.45,6.67
49262833,492625,283325,23872.1,24707.22,48579.32,6.45,6.68
49262834,492625,283425,83940.24,98527.45,182467.69,6.04,7.09
49262846,492625,284625,96266.56,124869.75,221136.31,5.71,7.41
49262847,492625,284725,115471.16,123298.59,238769.75,6.35,6.78
49262848,492625,284825,90569.36,77396.71,167966.07,7.08,6.05
49272828,492725,282825,18843.7,19579.6,38423.3,6.44,6.69
49272829,492725,282925,52386.64,54253.45,106640.09,6.45,6.68
49272830,492725,283025,33057.63,34192,67249.63,6.45,6.67
49272832,492725,283225,7929.09,8298.12,16227.21,6.41,6.71
49272833,492725,283325,122394.34,126564.08,248958.42,6.45,6.67
49272834,492725,283425,186586.11,217805.25,404391.36,6.06,7.07
49272835,492725,283525,118733.73,138829.63,257563.36,6.05,7.07
49272845,492725,284525,50927.95,65924.94,116852.89,5.72,7.4
49272846,492725,284625,115378.14,131707.91,247086.05,6.13,7
49272847,492725,284725,100775.33,86044.38,186819.71,7.08,6.05
49272848,492725,284825,110076.58,93956.98,204033.56,7.08,6.04
49272849,492725,284925,35708.99,30534.97,66243.96,7.08,6.05
49272869,492725,286925,6064.33,2763.18,8827.51,9.02,4.11
49282828,492825,282825,31281.66,33351.98,64633.64,6.35,6.77
49282829,492825,282925,2959.46,3140.88,6100.34,6.37,6.76
49282830,492825,283025,24184.86,25109.16,49294.02,6.44,6.69
49282831,492825,283125,7024.04,7448.63,14472.67,6.37,6.76
49282832,492825,283225,110684.23,114474.1,225158.33,6.45,6.67
49282833,492825,283325,143640.65,160006.35,303647,6.21,6.92
49282834,492825,283425,141047.7,164900.03,305947.73,6.05,7.07
49282835,492825,283525,130909.26,152962.5,283871.76,6.05,7.07
49282836,492825,283625,149454.69,156596.35,306051.04,6.41,6.72
49282837,492825,283725,255974.72,268226.42,524201.14,6.41,6.72
49282838,492825,283825,240628.86,249657.63,490286.49,6.44,6.68
49282839,492825,283925,241436.39,247603.12,489039.51,6.48,6.65
49282840,492825,284025,128207.2,128669.47,256876.67,6.55,6.57
49282841,492825,284125,46433.39,45678.29,92111.68,6.62,6.51
49282842,492825,284225,316916.42,358619.57,675535.99,6.16,6.97
49282843,492825,284325,186049.09,195424.71,381473.8,6.4,6.72
49282844,492825,284425,194653.51,252055.73,446709.24,5.72,7.41
49282845,492825,284525,32664.97,39022.12,71687.09,5.98,7.14
49282846,492825,284625,86781.84,74206.98,160988.82,7.08,6.05
49282847,492825,284725,102429.98,87343.74,189773.72,7.08,6.04
49282848,492825,284825,121488.98,110311.12,231800.1,6.88,6.25
49282849,492825,284925,123680,134049,257729,6.3,6.83
49282870,492825,287025,24258.33,11053.52,35311.85,9.02,4.11
49292828,492925,282825,62570.16,66711.44,129281.6,6.35,6.77
49292829,492925,282925,5328,5623.5,10951.5,6.39,6.74
49292830,492925,283025,24690.07,26336.81,51026.88,6.35,6.77
49292831,492925,283125,66734.46,70877.15,137611.61,6.36,6.76
49292832,492925,283225,128895.13,135323.63,264218.76,6.4,6.72
49292833,492925,283325,219920.64,271167.71,491088.35,5.88,7.25
49292834,492925,283425,165102.31,202985.22,368087.53,5.89,7.24
49292835,492925,283525,112968.76,138370.66,251339.42,5.9,7.23
49292836,492925,283625,125961.18,131936.65,257897.83,6.41,6.71
49292837,492925,283725,295950.22,310024.15,605974.37,6.41,6.71
49292838,492925,283825,249987.65,259529.6,509517.25,6.44,6.69
49292839,492925,283925,222087.27,227755.01,449842.28,6.48,6.65
49292840,492925,284025,237746.93,243849.48,481596.41,6.48,6.65
49292841,492925,284125,340811.92,387886.8,728698.72,6.14,6.99
49292842,492925,284225,483280.88,578844.88,1062125.76,5.97,7.15
49292843,492925,284325,563047.41,652220.33,1215267.74,6.08,7.04
49292844,492925,284425,244836.78,289608.31,534445.09,6.01,7.11
49292845,492925,284525,138456.75,121809.19,260265.94,6.98,6.14
49292846,492925,284625,113033.77,96309.29,209343.06,7.09,6.04
49292847,492925,284725,92099.92,83224.6,175324.52,6.89,6.23
49292848,492925,284825,94737.05,102538.95,197276,6.3,6.82
49292849,492925,284925,94717.56,102543.79,197261.35,6.3,6.82
49292850,492925,285025,72909.82,79012.11,151921.93,6.3,6.83
49292857,492925,285725,22102.84,23231.11,45333.95,6.4,6.73
49292858,492925,285825,66306.75,69691.65,135998.4,6.4,6.73
49292859,492925,285925,66304.98,69689.97,135994.95,6.4,6.73
49292870,492925,287025,6064.33,2763.18,8827.51,9.02,4.11
49292871,492925,287125,18194,8290.34,26484.34,9.02,4.11
49302827,493025,282725,15639.29,16674.18,32313.47,6.35,6.77
49302828,493025,282825,46917.87,50022.54,96940.41,6.35,6.77
49302829,493025,282925,33145.74,35282.38,68428.12,6.36,6.77
49302830,493025,283025,3508.38,3696.18,7204.56,6.39,6.73
49302831,493025,283125,99353.99,105940.62,205294.61,6.35,6.77
49302832,493025,283225,133264.59,142107.95,275372.54,6.35,6.77
49302833,493025,283325,572939.03,679112.5,1252051.53,6.01,7.12
49302834,493025,283425,180523.18,218187.66,398710.84,5.94,7.18
49302835,493025,283525,227879.96,272340.19,500220.15,5.98,7.15
49302836,493025,283625,141662.23,148514.61,290176.84,6.41,6.72
49302837,493025,283725,363650.67,380918.77,744569.44,6.41,6.71
49302838,493025,283825,271663.57,286981.95,558645.52,6.38,6.74
49302839,493025,283925,206512.9,222776.35,429289.25,6.31,6.81
49302840,493025,284025,215958.34,232098.83,448057.17,6.33,6.8
49302841,493025,284125,257837.97,298325.75,556163.72,6.08,7.04
49302842,493025,284225,229640.62,271797.8,501438.42,6.01,7.11
49302843,493025,284325,656384.77,741258.51,1397643.28,6.16,6.96
49302844,493025,284425,175218.49,197881.84,373100.33,6.16,6.96
49302845,493025,284525,119402.85,114332.08,233734.93,6.7,6.42
49302846,493025,284625,121165.3,103688.43,224853.73,7.07,6.05
49302847,493025,284725,100735.11,106160.52,206895.63,6.39,6.73
49302848,493025,284825,23886.26,25818.79,49705.05,6.31,6.82
49302849,493025,284925,43184.51,46837.49,90022,6.3,6.83
49302850,493025,285025,45143.22,48869.75,94012.97,6.3,6.82
49302851,493025,285125,59690.22,60679.31,120369.53,6.51,6.62
49302852,493025,285225,40337.23,34215.67,74552.9,7.1,6.02
49302853,493025,285325,45804.35,38772.41,84576.76,7.11,6.02
49302854,493025,285425,46686.08,39551.22,86237.3,7.11,6.02
49302855,493025,285525,46689.88,39555.02,86244.9,7.11,6.02
49302856,493025,285625,41206.91,38564.51,79771.42,6.78,6.35
49302857,493025,285725,88404.28,92917.72,181322,6.4,6.73
49302858,493025,285825,88404.28,92917.72,181322,6.4,6.73
49302859,493025,285925,88404.28,92917.72,181322,6.4,6.73
49302871,493025,287125,6064.33,2763.18,8827.51,9.02,4.11
49302872,493025,287225,6065.34,2763.98,8829.32,9.02,4.11
49312827,493125,282725,31288.16,33359.34,64647.5,6.35,6.77
49312828,493125,282825,16664.61,17736.12,34400.73,6.36,6.77
49312829,493125,282925,64402.18,68663.52,133065.7,6.35,6.77
49312830,493125,283025,87379.14,93156.61,180535.75,6.35,6.77
49312831,493125,283125,72198.56,77094,149292.56,6.35,6.78
49312832,493125,283225,125031.63,133274.12,258305.75,6.35,6.77
49312833,493125,283325,852813.44,988160.43,1840973.87,6.08,7.04
49312834,493125,283425,533096.52,617660.13,1150756.65,6.08,7.04
49312835,493125,283525,446113.85,517013.53,963127.38,6.08,7.05
49312836,493125,283625,488147.02,563436.65,1051583.67,6.09,7.03
49312837,493125,283725,513789.16,576982.57,1090771.73,6.18,6.94
49312838,493125,283825,194497.02,222341.72,416838.74,6.12,7
49312839,493125,283925,183730.95,210020.93,393751.88,6.12,7
49312840,493125,284025,261669.7,299026.47,560696.17,6.13,7
49312841,493125,284125,267582.09,305661.94,573244.03,6.13,7
49312842,493125,284225,474117.4,542469.93,1016587.33,6.12,7
49312843,493125,284325,166144.49,187836.51,353981,6.16,6.96
49312844,493125,284425,366480.4,414068.11,780548.51,6.16,6.96
49312845,493125,284525,125869.43,134213.41,260082.84,6.35,6.77
49312846,493125,284625,67220.14,67296.97,134517.11,6.56,6.57
49312847,493125,284725,109546.53,118721.62,228268.15,6.3,6.83
49312848,493125,284825,28979.14,31366.35,60345.49,6.3,6.82
49312849,493125,284925,45427.47,49182.86,94610.33,6.3,6.82
49312850,493125,285025,2934.17,3196.32,6130.49,6.28,6.84
49312851,493125,285125,20803.05,17665.31,38468.36,7.1,6.03
49312852,493125,285225,72208.43,61248.41,133456.84,7.1,6.02
49312853,493125,285325,101492.41,86098.94,187591.35,7.1,6.02
49312854,493125,285425,96082.92,81365.21,177448.13,7.11,6.02
49312855,493125,285525,93377.82,79108.14,172485.96,7.11,6.02
49312856,493125,285625,76928.95,76136.61,153065.56,6.6,6.53
49312857,493125,285725,88403.31,92916.68,181319.99,6.4,6.73
49312858,493125,285825,88406.85,92920.04,181326.89,6.4,6.73
49312859,493125,285925,88402.34,92915.64,181317.98,6.4,6.73
49312860,493125,286025,44199.4,46456.14,90655.54,6.4,6.73
49322827,493225,282725,46926.12,50031.5,96957.62,6.35,6.77
49322828,493225,282825,62565.31,66705.55,129270.86,6.35,6.77
49322829,493225,282925,48276.63,51467.27,99743.9,6.35,6.77
49322830,493225,283025,15624.54,16609.09,32233.63,6.36,6.76
49322831,493225,283125,24424.4,26281.33,50705.73,6.32,6.8
49322832,493225,283225,162964.08,196463.17,359427.25,5.95,7.17
49322833,493225,283325,627252.39,770923.74,1398176.13,5.89,7.24
49322834,493225,283425,484649.38,594895.67,1079545.05,5.89,7.23
49322835,493225,283525,394198.32,484056.43,878254.75,5.89,7.23
