id,x,y,new_total201901,new_total201902,new_total201903,new_total201904,new_total201905,new_total201906,new_total201907,new_total201908,new_total201909,new_total201910,new_total201911,new_total201912,whole_total
49242847,492425,284725,6808.64,6013.77,5998.21,5574.27,5521.03,5655.74,6885.32,7102.09,7237.95,7342.83,6644.91,6182.78,76967.54
49252827,492525,282725,4.26,7.76,22.84,33.99,41.9,53.33,15.74,9.64,2612.62,6331.92,4831.53,5380.42,19345.95
49252847,492525,284725,27234.56,24055.08,23992.84,22297.08,22084.12,22622.96,27541.28,28408.36,28951.8,29371.32,26579.64,24731.12,307870.16
49252848,492525,284825,4429.9,4299.32,5587.1,4937.66,5311.81,4515.76,4101.02,4346.77,4807,4919.95,4369.1,4930.72,56556.11
49262828,492625,282825,5808.58,5571.56,6034.16,5617.78,5828.76,5183.77,5806.71,6410.9,6428.32,7232.65,7080.45,8797.99,75801.63
49262829,492625,282925,2904.29,2785.78,3015.47,2807.32,2909.51,2585.81,2609.71,2523.9,2519.1,2811.72,2767.53,3389.63,33629.77
49262833,492625,283325,4228.38,4061.56,4434.45,4143.56,4283.5,3818.24,3760.02,3535.79,3540.04,3993.08,3924.83,4855.87,48579.32
49262834,492625,283425,14129.4,13380.48,16256.06,15713.45,16690.92,15952.34,14844.61,14900.46,15663.68,15557.47,14426.16,14952.66,182467.69
49262846,492625,284625,19503.1,17215.89,17022.62,15798.59,15650.11,16376.17,20079.44,20454.37,21060.64,21431.12,19022.37,17521.89,221136.31
49262847,492625,284725,19954.24,18375.54,20768.09,18777.23,19427.19,18343.89,19700.77,20355.59,21652.42,22102.95,19554.67,19757.17,238769.75
49262848,492625,284825,13157.13,12768.78,16588.21,14660.29,15773.72,13410.93,12184.29,12915.32,14274.77,14611.37,12977.75,14643.51,167966.07
49272828,492725,282825,3414.28,3258.84,3542.6,3282.14,3432.74,2822.1,4023.26,5463.16,5560.48,6436.84,6196,8074.92,55507.36
49272829,492725,282925,9291.8,8895.73,9640.31,8956.42,9297.5,8035.97,8176.41,7885.42,7911.15,8929.09,8722.35,10897.94,106640.09
49272830,492725,283025,5808.58,5571.56,6030.94,5614.64,5819.02,5171.62,5219.42,5045.11,5038.2,5623.44,5527.84,6779.26,67249.63
49272832,492725,283225,1527.25,1460.26,1576.48,1444.84,1511.06,1231.93,1264.25,1257.73,1235.2,1365.41,1329.22,1768.49,16972.12
49272833,492725,283325,21939.62,20828.93,22638.14,21035.81,21773.65,19331.79,19249.18,18288.01,18257.61,20521.57,20099.69,24994.42,248958.42
49272834,492725,283425,35550.3,35009.3,40841.15,32917.76,34281.93,34460.4,34065.39,33484.26,33418.58,34008.53,28993.01,27360.75,404391.36
49272835,492725,283525,21953.39,21236.09,25191.47,20872.01,21912.77,21842.19,21729.87,21345.7,21397.13,21905.8,19335.42,18841.52,257563.36
49272845,492725,284525,10877.49,9286.17,7481.49,6968.31,7027.52,7617.81,11614.72,11493.65,12071.73,12330.73,10563.85,9519.42,116852.89
49272846,492725,284625,21363.33,19022.25,19256.27,17756.74,18324.01,18615.06,22087.6,22351.7,23493.05,24176.41,20844.56,19795.07,247086.05
49272847,492725,284725,14629.1,14200.44,18460.52,16311.87,17554.43,14915.8,13539.85,14356.99,15878.83,16252.99,14429.57,16289.32,186819.71
49272848,492725,284825,15976.29,15512.49,20176.13,17813.94,19175.72,16285.32,14774.02,15668.23,17343.74,17755.03,15758.2,17794.45,204033.56
49272849,492725,284925,5209.78,5057,6480.19,5806.13,6125.6,5280.61,4820.15,5112.44,5624.48,5787.68,5138.87,5801.03,66243.96
49272869,492725,286925,443.69,507.2,921.03,956.27,1132.36,967.72,896.03,736.49,783.35,877.81,585.91,491.87,9299.73
49282828,492825,282825,5670.14,5437.23,5829.04,5404.72,5688.32,5699.95,8091.88,9881.16,10372.8,10203.72,9720.84,10101.16,92100.96
49282829,492825,282925,546.88,592.05,602.87,546.87,653.88,656.48,600.73,369.96,434.54,463.03,483.27,577.61,6528.17
49282830,492825,283025,4337.34,4177.18,4498.61,4163.38,4403.62,3814.74,3931.37,3577.68,3615.9,4061.88,3977.15,4948.55,49507.4
49282831,492825,283125,1212.46,1221.5,1416.75,1333.09,1393.02,1227.11,1180.06,1051.37,1081.05,1282.1,1287.81,1623.22,15309.54
49282832,492825,283225,19814.18,18928.45,20492.47,19063.04,19769.21,17523.67,17375.42,16398.41,16441.19,18567.22,18185.7,22599.37,225158.33
49282833,492825,283325,27039.88,26473.73,30038.81,24849.08,25668.04,24800.79,24778.65,23990.16,23722.73,25197.96,22792.62,24294.55,303647
49282834,492825,283425,26663.17,26371.57,30799.79,24163.18,24907.62,25618.67,26441.23,26181.07,25421.03,26853.54,22309.86,20217,305947.73
49282835,492825,283525,25373.34,24842.82,29015.72,22920.23,23735.62,24117.53,24317.7,23823.39,23453.55,24167.84,20047.9,18056.12,283871.76
49282836,492825,283625,24962.25,23970.92,26936.32,24232.25,26595.89,25874.63,26506.84,26093.71,25912.18,25244.79,23908.71,25812.55,306051.04
49282837,492825,283725,42671.5,40922.54,46173.27,41694.09,45735.88,44487.31,45325.53,44628.5,44293.06,43111.31,40894.74,44263.41,524201.14
