id,x,y,m,f,total
95139666,492452,284793,33482.95,43484.59,76967.54
95151854,492502,284743,33482.95,43484.59,76967.54
95151855,492502,284793,33482.95,43484.59,76967.54
95164003,492552,282743,792.63,886.29,1678.92
95164043,492552,284743,33482.95,43484.59,76967.54
95164044,492552,284793,33482.95,43484.59,76967.54
95164045,492552,284843,30497.7,26058.41,56556.11
95176194,492602,282843,16529.56,17097.09,33626.65
95176231,492602,284693,33482.95,43484.59,76967.54
95176232,492602,284743,33482.95,43484.59,76967.54
95176233,492602,284793,30818.52,26313.64,57132.16
95176234,492602,284843,30193.96,25780.85,55974.81
95188384,492652,282893,16532.82,17100.13,33632.95
95188385,492652,282943,16531.4,17098.37,33629.77
95188394,492652,283393,23872.1,24707.22,48579.32
95188395,492652,283443,44668.75,52471.74,97140.49
95188396,492652,283493,39271.49,46055.71,85327.2
95188419,492652,284643,29300.66,37900.57,67201.23
95188420,492652,284693,33482.95,43484.59,76967.54
95188421,492652,284743,22328.46,28867.95,51196.41
95188422,492652,284793,28841.23,24632.41,53473.64
95188423,492652,284843,29659.54,25369.73,55029.27
95188424,492652,284893,30715.86,26246.13,56961.99
95200573,492702,282893,9421.85,9789.8,19211.65
95200574,492702,282943,16530.05,17097.03,33627.08
95200575,492702,282993,16530.05,17097.03,33627.08
95200582,492702,283343,32734.95,33853.45,66588.4
95200583,492702,283393,28944.24,29947.92,58892.16
95200584,492702,283443,47728.16,55684.93,103413.09
95200585,492702,283493,40909.71,47816.36,88726.07
95200586,492702,283543,40798.58,47742.07,88540.65
95200608,492702,284643,29546.1,38251.04,67797.14
95200610,492702,284743,26994.35,23058.76,50053.11
95200611,492702,284793,24570.2,21001.09,45571.29
95200612,492702,284843,25148.19,21456.29,46604.48
95200613,492702,284893,28935.92,24694.27,53630.19
95212762,492752,282893,9421.85,9789.8,19211.65
95212763,492752,282943,9468.68,9835.39,19304.07
95212764,492752,282993,9857.86,10224,20081.86
95212765,492752,283043,16528.14,17095.33,33623.47
95212766,492752,283093,16529.49,17096.67,33626.16
95212770,492752,283293,7929.09,8298.12,16227.21
95212771,492752,283343,33823.86,34959.01,68782.87
95212772,492752,283393,26891.29,27803.7,54694.99
95212773,492752,283443,52250.43,60975.42,113225.85
95212774,492752,283493,45697.81,53328.54,99026.35
95212775,492752,283543,41031.21,47935.11,88966.32
95212776,492752,283593,36903.94,43152.45,80056.39
95212796,492752,284593,50927.95,65924.94,116852.89
95212797,492752,284643,45550.8,59011.81,104562.61
95212798,492752,284693,40281.24,34445.06,74726.3
95212799,492752,284743,24043.33,20524.53,44567.86
95212800,492752,284793,25167.45,21460,46627.45
95212801,492752,284843,26028.01,22215.9,48243.91
95212802,492752,284893,29964.46,25590.52,55554.98
95212803,492752,284943,35708.99,30534.97,66243.96
95212844,492752,286993,6064.33,2763.18,8827.51
95224951,492802,282893,15640.9,16675.92,32316.82
95224953,492802,282993,1221.2,1294.74,2515.94
95224954,492802,283043,10690.9,11064.91,21755.81
95224957,492802,283193,5491.08,5822.29,11313.37
95224958,492802,283243,28105.32,29068.16,57173.48
95224959,492802,283293,22200.98,22960.1,45161.08
95224960,492802,283343,27251.24,28179.54,55430.78
95224961,492802,283393,39832.86,46563.16,86396.02
95224962,492802,283443,36505.95,42719.27,79225.22
95224963,492802,283493,37639.6,44021.67,81661.27
95224964,492802,283543,46009.61,53717.42,99727.03
95224965,492802,283593,35752.16,41848.87,77601.03
95224966,492802,283643,45358.78,47555.87,92914.65
95224967,492802,283693,48282.22,50619.86,98902.08
95224968,492802,283743,69672.98,73066.68,142739.66
95224969,492802,283793,42972.56,45073.54,88046.1
95224970,492802,283843,54107.66,56719.89,110827.55
95224971,492802,283893,58783.47,60307.07,119090.54
95224972,492802,283943,66395.23,68102.44,134497.67
95224973,492802,283993,58990.81,60515.52,119506.33
95224974,492802,284043,25660.32,25278.51,50938.83
95224975,492802,284093,25232.17,24849.07,50081.24
95224977,492802,284193,17171.8,16895.47,34067.27
95224979,492802,284293,143278.64,150544.27,293822.91
95224982,492802,284443,75802.69,98108.35,173911.04
95224983,492802,284493,47360.06,61362.12,108722.18
95224984,492802,284543,8351.72,11066.45,19418.17
95224986,492802,284643,18583.97,15937.96,34521.93
95224987,492802,284693,47996.92,40959.1,88956.02
95224988,492802,284743,17534.19,14932.72,32466.91
95224989,492802,284793,25996.82,22191.82,48188.64
95224990,492802,284843,29776.77,25432.39,55209.16
95224991,492802,284893,29961.22,25590.52,55551.74
95224992,492802,284943,30767.47,33335.6,64103.07
95224993,492802,284993,31593.29,34286.9,65880.19
95225034,492802,287043,6064.33,2763.18,8827.51
95225035,492802,287093,6065.34,2763.98,8829.32
95237140,492852,282893,15640.76,16676.06,32316.82
95237141,492852,282943,1738.26,1846.14,3584.4
95237143,492852,283043,1944.1,2086.83,4030.93
95237144,492852,283093,11549.86,11957.42,23507.28
95237146,492852,283193,1532.96,1626.34,3159.3
95237147,492852,283243,28714.75,29696.68,58411.43
95237148,492852,283293,31663.18,32749.16,64412.34
95237149,492852,283343,30787.31,31839.98,62627.29
95237150,492852,283393,45769.24,53423.67,99192.91
95237151,492852,283443,36902.9,43151.91,80054.81
95237152,492852,283493,29999.25,35007.18,65006.43
95237153,492852,283543,30805.47,35958.64,66764.11
95237154,492852,283593,18342.02,21437.57,39779.59
95237155,492852,283643,29578.53,30963.37,60541.9
95237156,492852,283693,26235.16,27457.25,53692.41
95237157,492852,283743,35409.58,37101.75,72511.33
95237158,492852,283793,107919.6,112984.45,220904.05
95237159,492852,283843,74879.97,78428.66,153308.63
95237160,492852,283893,52857.76,54202.01,107059.77
95237161,492852,283943,56334.9,57762.05,114096.95
95237162,492852,283993,59715.45,61223.11,120938.56
95237163,492852,284043,59119.4,60651.04,119770.44
95237164,492852,284093,18195.31,17890.85,36086.16
95237165,492852,284143,16499.72,16238.73,32738.45
95237166,492852,284193,12761.87,12544.09,25305.96
95237167,492852,284243,81899.96,98058.23,179958.19
95237168,492852,284293,91737.82,110017.07,201754.89
95237169,492852,284343,186049.09,195424.71,381473.8
95237171,492852,284443,53149.67,68844.25,121993.92
95237172,492852,284493,18341.09,23741.01,42082.1
95237173,492852,284543,16235.73,21036.07,37271.8
95237174,492852,284593,8077.52,6919.6,14997.12
95237175,492852,284643,13044.82,11182.91,24227.73
95237176,492852,284693,7156.13,6127.01,13283.14
95237177,492852,284743,44598.62,38023.71,82622.33
95237178,492852,284793,14300.35,12195.49,26495.84
95237179,492852,284843,33439.48,28595.23,62034.71
95237180,492852,284893,28311.51,30692.98,59004.49
95237181,492852,284943,29875.39,32330.85,62206.24
95237182,492852,284993,31443.85,34095.65,65539.5
95237223,492852,287043,6064.33,2763.18,8827.51
95237224,492852,287093,6064.33,2763.18,8827.51
95249328,492902,282843,15644.08,16679.67,32323.75
95249329,492902,282893,15644.08,16679.67,32323.75
95249330,492902,282943,1067.86,1106.35,2174.21
95249331,492902,282993,2227.03,2409.69,4636.72
95249333,492902,283093,24690.07,26336.81,51026.88
95249334,492902,283143,14143.09,15091.42,29234.51
95249335,492902,283193,10495.26,10872.91,21368.17
95249336,492902,283243,32943.02,34055.75,66998.77
95249337,492902,283293,32384.94,33495.28,65880.22
95249338,492902,283343,43345.92,50673.93,94019.85
95249339,492902,283393,46127.8,53854.57,99982.37
95249340,492902,283443,37536.6,43902.65,81439.25
95249341,492902,283493,36083,42225.37,78308.37
95249342,492902,283543,29690,34641.81,64331.81
95249343,492902,283593,24733.38,28867.05,53600.43
95249344,492902,283643,47005.84,49255.65,96261.49
95249345,492902,283693,29424.66,30854.13,60278.79
95249346,492902,283743,69829.53,73184.69,143014.22
95249347,492902,283793,79016.67,82782.27,161798.94
95249348,492902,283843,78225.58,81964.09,160189.67
95249349,492902,283893,47797.5,49028.14,96825.64
95249350,492902,283943,55341.4,56742.97,112084.37
95249351,492902,283993,57693.13,59160.41,116853.54
95249352,492902,284043,47457.29,48672.88,96130.17
95249353,492902,284093,55459.46,56873.17,112332.63
95249354,492902,284143,49623.82,50890.23,100514.05
95249355,492902,284193,148726.19,178200.18,326926.37
95249356,492902,284243,230335.25,275682.13,506017.38
95249357,492902,284293,69729.24,83593.45,153322.69
95249358,492902,284343,115255.28,138260.73,253516.01
95249359,492902,284393,166580.76,188369.32,354950.08
95249360,492902,284443,58877.04,76237.21,135114.25
95249361,492902,284493,19701.66,25554.81,45256.47
95249362,492902,284543,7610.94,10042.2,17653.14
95249363,492902,284593,18366.9,15753.29,34120.19
95249364,492902,284643,30166.61,25708.14,55874.75
95249365,492902,284693,5955.32,5072.18,11027.5
95249366,492902,284743,18340.7,15728.6,34069.3
95249367,492902,284793,23267.36,19839.29,43106.65
95249368,492902,284843,29890.66,32349.83,62240.49
95249369,492902,284893,27386.91,29675.41,57062.32
95249370,492902,284943,25778.92,27912.88,53691.8
95249371,492902,284993,28418.66,30817.46,59236.12
95249372,492902,285043,28347.89,30727.92,59075.81
95249389,492902,285893,22101.07,23229.43,45330.5
95249390,492902,285943,22101.07,23229.43,45330.5
95249413,492902,287093,6064.33,2763.18,8827.51
95249414,492902,287143,6064.33,2763.18,8827.51
95261517,492952,282843,15641,16676.05,32317.05
95261518,492952,282893,15641,16676.05,32317.05
95261519,492952,282943,1099.79,1140.34,2240.13
95261520,492952,282993,933.32,967.12,1900.44
95261523,492952,283143,12828.2,13708.61,26536.81
95261524,492952,283193,29267.91,31204.21,60472.12
95261525,492952,283243,32286.09,34416,66702.09
95261526,492952,283293,31281.08,33356.6,64637.68
95261527,492952,283343,63545.43,81165.9,144711.33
95261528,492952,283393,66901.49,85473.31,152374.8
95261529,492952,283443,42745.38,54625.26,97370.64
95261530,492952,283493,48737.33,62231.94,110969.27
95261531,492952,283543,28611.89,36551.78,65163.67
95261532,492952,283593,29933.49,38310.02,68243.51
95261533,492952,283643,23054.72,24117.31,47172.03
95261534,492952,283693,26475.96,27709.56,54185.52
95261535,492952,283743,78539.93,82255.47,160795.4
95261536,492952,283793,68564.09,71801.72,140365.81
95261537,492952,283843,64139.18,67201.97,131341.15
95261538,492952,283893,59825.39,61335.4,121160.79
95261539,492952,283943,48741.94,49984.01,98725.95
95261540,492952,283993,60310.8,61867.62,122178.42
95261541,492952,284043,69598.63,71385.38,140984.01
95261542,492952,284093,65231.55,66918.05,132149.6
95261543,492952,284143,69546.33,71292.7,140839.03
95261544,492952,284193,72915.58,87503.69,160419.27
95261545,492952,284243,134541.05,161204.2,295745.25
95261546,492952,284293,48675.34,58365.1,107040.44
95261547,492952,284343,113643.79,136239.2,249882.99
95261548,492952,284393,167567.58,189351.08,356918.66
95261549,492952,284443,119567.39,135151.35,254718.74
95261550,492952,284493,46690.69,52664.94,99355.63
95261551,492952,284543,55956.4,47784.17,103740.57
95261552,492952,284593,56522.51,48229.53,104752.04
95261553,492952,284643,72146.18,61519.5,133665.68
95261554,492952,284693,4765.66,4009.47,8775.13
95261555,492952,284743,31079.53,26650.84,57730.37
95261556,492952,284793,19412.33,21005.87,40418.2
95261557,492952,284843,10679.53,11548.5,22228.03
